Parish_id;Dialect_et;Village;lon;lat
Emm;Saarte;Mänspe;22.46;58.82
Emm;Saarte;Tärkma;22.60;58.69
Jaa;Saarte;Pulli;23.1501702;58.6433394
Jäm;Saarte;Kaunispe;22.09;58.03
Jäm;Saarte;Kaavi;22.17;57.98
Käi;Saarte;Leigri küla;22.67;58.9
Käi;Saarte;Moka;22.75;58.83
Käi;Saarte;Ristivälja;22.75;58.85
Käi;Saarte;Laheküla küla;22.80244;58.83129
Käi;Saarte;Nasva;22.74;58.81
Käi;Saarte;Kleemu;22.69472;58.80694
Khk;Saarte;Atla;21.9;58.29
Khk;Saarte;Leedri;22.02722;58.27361
Khk;Saarte;Kotlandi;22.06;58.21
Khk;Saarte;Undva;21.97;58.49
Khk;Saarte;Koimla;22.11;58.22
Khn;Saarte;Rootsiküla;23.97;58.1
Khn;Saarte;Mõisaküla;23.97778;58.13361
Khn;Saarte;Linaküla;23.97;58.13
Khn;Saarte;Lemsi;24;58.13
Krj;Saarte;Selja;22.71;58.48
Muh;Saarte;Soonda;23.25;58.6
Muh;Saarte;Suuremõisa;23.22;58.56
Muh;Saarte;Lõetsa;23.32;58.64
Muh;Saarte;Igaküla;23.11;58.6
Mus;Saarte;Abula;22.1444;58.44
Mus;Saarte;Võhma;22.34;58.52
Pha;Saarte;Suure-Rootsi;22.64;58.24
Pha;Saarte;Väike-Rootsi;22.713;58.229
Phl;Saarte;Sääre;22.91768;58.96442
Phl;Saarte;Kukka;22.86;58.98
Phl;Saarte;Lõpe;22.82;58.96
Phl;Saarte;Sakla;22.83;58.95
Pöi;Saarte;Asva;23.01;58.41
Reigi;Saarte;Kõpu;22.21;58.9
Vll;Saarte;Kalli;22.86;58.39
ISe;Setu;Kolo;27.6833;57.7166
ISe;Setu;Kosselka;27.783333;57.7333
ISe;Setu;Sabelina;27.73;57.80
ISe;Setu;Sandra;27.6666;57.7
LSe;Setu;Napi;27.32869;57.63558
LSe;Setu;Koorla;27.37;57.647
LSe;Setu;Mokra;27.35528;57.66111
LSe;Setu;Serga;27.47;57.75
LSe;Setu;Palo;27.52;57.73
PSe;Setu;Verhulitsa;27.65528;57.94472
PSe;Setu;Lõpolja;27.75;57.93
PSe;Setu;Podmotsa;27.66;58.00
PSe;Setu;Vaartsi;27.59;57.85
Kam;Tartu;Kaare;26.70056;58.23056
Kam;Tartu;Räni;26.74639;58.25861
Kam;Tartu;Kirikuküla;26.70611;58.24167
Nõo;Tartu;Tamsa;26.48;58.21
Ote;Tartu;Pedajamäe;26.7;58.23
Ote;Tartu;Neeruti;26.56;58.11
Ote;Tartu;Nüpli;26.48;58.03
Ote;Tartu;Lutike;26.5625;58.14194
Rõn;Tartu;Pühaste;26.12;58.1
Rõn;Tartu;Koruste;26.18;58.13
Rõn;Tartu;Väike-Rõngu;26.23;58.14
Rõn;Tartu;Aakre;26.19;58.09
Võn;Tartu;Ibaste;27.07472;58.26694
Võn;Tartu;Terikeste;27.1;58.3
Võn;Tartu;Paluküla;26.96972;58.26
Har;Võru;Ruuksu;26.56222;57.59694
Har;Võru;Kalliküla küla;26.4;57.6
Har;Võru;Kuutsi;26.55;57.59
Har;Võru;Saru;26.53;57.6
Krl;Võru;Karula;26.30028;57.75528
Krl;Võru;Kaagjärve;26.17;57.76
Krl;Võru;Pikkjärve;26.28167;57.77083
Plv;Võru;Kiuma;26.96;58.03
Plv;Võru;Mammaste;27.04;58.07
Plv;Võru;Himmaste;27.08;58.08
Plv;Võru;Navi;26.95;57.87
Räp;Võru;Tooste;27.47;58.13
Räp;Võru;Raadama;27.42;58.12
Rõu;Võru;Villa;27.08;57.68
Rõu;Võru;Plaksi;27.05;57.7
Urv;Võru;Säre;26.62;57.82
Vas;Võru;Tohkri;27.16;57.79
Vas;Võru;Missokülä küla;27.26028;57.60917
Vas;Võru;Kerepäälse;27.3274857;57.7814567
Vas;Võru;Pulli;27.20;57.61
Vas;Võru;Savioja;27.34;57.75
Vas;Võru;Uuri;27.15;57.65
Vas;Võru;Tsiistre;27.19;57.66
Vas;Võru;Noodasküla;27.15;57.8
Vas;Võru;Puspuri;27.11;57.66
